,Name,Localization,Distance to center,Score,Experiences number,Links
140,CMG Tour Eiffel/Champs de Mars__Laos 1D,"15th arr., Paris",2.4 miles,8.1,"1,669 reviews",https://www.booking.com//hotel/fr/cmg-tour-eiffel-47-champs-de-mars-laos-1d-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
141,Paris Square,"8th arr., Paris",2.7 miles,8.4,55 reviews,https://www.booking.com//hotel/fr/paris-square-paris.html?from=searchresults;#hotelTmpl
142,CMG Tour Eiffel/Champs de Mars__Laos 2G,"15th arr., Paris",2.4 miles,8.8,25 reviews,https://www.booking.com//hotel/fr/cmg-tour-eiffel-47-champs-de-mars-laos-3.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
143,Mode - Arc de Triomphe,"16th arr., Paris",3.1 miles,7.0,32 reviews,https://www.booking.com//hotel/fr/mode-arc-de-triomphe.html?from=searchresults;#hotelTmpl
144,Hotel Mademoiselle,"10th arr., Paris",1.5 miles,8.2,38 reviews,https://www.booking.com//hotel/fr/relaislafayette.html?from=searchresults;#hotelTmpl
145,CMG Luxury Marais,"11th arr., Paris",1 miles,7.7,32 reviews,https://www.booking.com//hotel/fr/appartement-marais-paris2.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
146,Sublime appartement Bld Saint Germain,"6th arr., Paris",0.7 miles,7.8,53 reviews,https://www.booking.com//hotel/fr/sublime-appartement-bld-saint-germain.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
147,MileStay Paris Montmartre,"9th arr., Paris",2.1 miles,7.1,9 reviews,https://www.booking.com//hotel/fr/milestay-residence-ballu.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
148,Appartement ST Emilion,"3rd arr., Paris","3,100 feet",8.2,9 reviews,https://www.booking.com//hotel/fr/appartement-st-emilion.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
149,Apartment WS Louvre - Etienne Marcel,"2nd arr., Paris",0.7 miles,7.9,6 reviews,https://www.booking.com//hotel/fr/etienne-marcel.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
150,CMG Bercy-Tolbiac,"13th arr., Paris",2.3 miles,7.7,48 reviews,https://www.booking.com//hotel/fr/cmg-bercy-tolbiac.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
151,Hotel Lutetia - The Leading Hotels of the World,"6th arr., Paris",1.2 miles,8.6,824 reviews,https://www.booking.com//hotel/fr/lutetia-paris12.html?from=searchresults;#hotelTmpl
152,My Maison In Paris - Sentier,"2nd arr., Paris",0.8 miles,7.5,68 reviews,https://www.booking.com//hotel/fr/my-maison-in-paris-sentier.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
153,Hotel Excelsior Latin,"5th arr., Paris",0.7 miles,8.4,29 reviews,https://www.booking.com//hotel/fr/excelsior-latin.html?from=searchresults;#hotelTmpl
154,Île Saint-Louis apartment,"4th arr., Paris","2,300 feet",7.1,602 reviews,https://www.booking.com//hotel/fr/ile-saint-louis.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
155,Latin Quarter - Notre Dame apartment,"5th arr., Paris","2,300 feet",8.5,17 reviews,https://www.booking.com//hotel/fr/cosy-harp-apartment.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
156,CMG Montorgueil IX,"2nd arr., Paris",0.8 miles,8.6,49 reviews,https://www.booking.com//hotel/fr/cmg-montorgueil-ix.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
157,CMG République - Marais D,"3rd arr., Paris",0.9 miles,8.4,"1,951 reviews",https://www.booking.com//hotel/fr/cmg-republique-marais-d.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
158,"Beautiful 60 SQM Louvre, Opera.","2nd arr., Paris",0.8 miles,8.8,467 reviews,https://www.booking.com//hotel/fr/beautiful-60-sqm-louvre.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
159,41-Atelier Star Wars,"2nd arr., Paris",0.7 miles,8.5,49 reviews,https://www.booking.com//hotel/fr/41-atelier-star-wars.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
160,Appartement 2-Chalgrin Paris,"16th arr., Paris",3.1 miles,9.0,822 reviews,https://www.booking.com//hotel/fr/appartement-2-chalgrin-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
161,CMG Auteuil/ Mozart,"16th arr., Paris",3.7 miles,9.2,17 reviews,https://www.booking.com//hotel/fr/cmg-auteuil-47-mozart.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
162,Central Marais Lovely Apartment,"3rd arr., Paris",0.7 miles,9.1,88 reviews,https://www.booking.com//hotel/fr/central-marais-lovely-apartment.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
163,Welkeys - Bd Diderot,"12th arr., Paris",1.9 miles,8.2,12 reviews,https://www.booking.com//hotel/fr/welkeys-bd-diderot.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
164,CMG Montorgeuil/ Sebastopol/ Lemoine,"2nd arr., Paris",0.8 miles,8.0,32 reviews,https://www.booking.com//hotel/fr/cmg-montorgeuil-47-sebastopol-47-lemoine.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
165,CMG République / Montorgueil __ Nazareth,"3rd arr., Paris",0.9 miles,7.4,32 reviews,https://www.booking.com//hotel/fr/cmg-nazareth.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
166,Chateau Frontenac,"8th arr., Paris",2.4 miles,8.0,227 reviews,https://www.booking.com//hotel/fr/chateau-frontenac.html?from=searchresults;#hotelTmpl
167,CMG Louvre / Saint Honoré III,"1st arr., Paris","2,300 feet",8.3,12 reviews,https://www.booking.com//hotel/fr/cmg-saint-honore-iii.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
168,CMG Rivoli/ Notre-Dame I,"4th arr., Paris",650 feet,8.3,5 reviews,https://www.booking.com//hotel/fr/cmg-rivoli-47-notre-dame-i.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
169,Bistrot Les Sans Culottes,"11th arr., Paris",1 miles,7.7,504 reviews,https://www.booking.com//hotel/fr/bistrot-les-sans-culottes.html?from=searchresults;#hotelTmpl
170,CMG Champs de Mars/ Fédération,"15th arr., Paris",2.8 miles,8.8,291 reviews,https://www.booking.com//hotel/fr/cmg-champs-de-mars-47-federation.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
171,Monge Apartment,"5th arr., Paris",0.7 miles,7.8,847 reviews,https://www.booking.com//hotel/fr/monge-paris12.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
172,Hôtel d'Argenson,"8th arr., Paris",2.1 miles,7.7,"1,146 reviews",https://www.booking.com//hotel/fr/d-39-argenson.html?from=searchresults;#hotelTmpl
173,Milestay - Halles,"1st arr., Paris","1,500 feet",9.1,350 reviews,https://www.booking.com//hotel/fr/alberginn-suites-les-halles.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
174,CMG Rivoli/ Notre-Dame II,"4th arr., Paris",650 feet,8.2,19 reviews,https://www.booking.com//hotel/fr/cmg-rivoli-47-notre-dame-ii.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
175,"The Hoxton, Paris","2nd arr., Paris",1 miles,9.0,105 reviews,https://www.booking.com//hotel/fr/the-hoxton-paris.html?from=searchresults;#hotelTmpl
176,I Love Paris,"13th arr., Paris",2.1 miles,8.6,"2,897 reviews",https://www.booking.com//hotel/fr/i-love-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
177,9Confidentiel,"4th arr., Paris","1,300 feet",8.5,186 reviews,https://www.booking.com//hotel/fr/9hotel-confidentiel-paris.html?from=searchresults;#hotelTmpl
178,Richelieu ChicSuites,"1st arr., Paris",1 miles,7.5,13 reviews,https://www.booking.com//hotel/fr/richelieu-chicsuite.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
179,Invalides Tour Eiffel,"7th arr., Paris",2 miles,7.6,6 reviews,https://www.booking.com//hotel/fr/invalides-tour-eiffel-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
180,Tour Eiffel Beaugrenelle Theatre,"15th arr., Paris",3 miles,9.1,21 reviews,https://www.booking.com//hotel/fr/tour-eiffel-beaugrenelle-theatre.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
181,Saint Germain Lovely Apartment,"5th arr., Paris","2,800 feet",8.3,455 reviews,https://www.booking.com//hotel/fr/saint-germain-lovely-apartment.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
182,The Residence - Luxury 3 Bedroom Paris Center,"2nd arr., Paris",0.9 miles,7.6,5 reviews,https://www.booking.com//hotel/fr/the-residence-luxury-3-bedroom-paris-center.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
183,Private Apartment - Place de la Bastille - Marais,"4th arr., Paris",0.7 miles,7.7,185 reviews,https://www.booking.com//hotel/fr/private-apartment-place-de-la-bastille-marais.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
184,Suite Kimberley,"2nd arr., Paris",0.7 miles,8.5,68 reviews,https://www.booking.com//hotel/fr/suite-kimberley.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
185,Hotel des Bains,"14th arr., Paris",1.6 miles,8.5,346 reviews,https://www.booking.com//hotel/fr/des-bains-paris.html?from=searchresults;#hotelTmpl
186,HolidaysInParis - Bourg Tibourg,"4th arr., Paris","1,150 feet",8.2,18 reviews,https://www.booking.com//hotel/fr/holidaysinparis-bourg-tibourg.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
187,Bonséjour Montmartre,"18th arr., Paris",2.2 miles,7.2,233 reviews,https://www.booking.com//hotel/fr/bonsejour-montmartre.html?from=searchresults;#hotelTmpl
188,Hôtel Mondial,"9th arr., Paris",1.1 miles,8.1,"1,496 reviews",https://www.booking.com//hotel/fr/mondial-paris.html?from=searchresults;#hotelTmpl
189,Résidence Palais Étoile,"17th arr., Paris",3.1 miles,9.0,128 reviews,https://www.booking.com//hotel/fr/residence-palais-etoile.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
190,68 - The Rolling Stones Flat,"2nd arr., Paris",0.8 miles,8.2,64 reviews,https://www.booking.com//hotel/fr/68-the-rolling-stones-flat.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
191,Le Petit Studio à Opera,"9th arr., Paris",1.5 miles,8.8,412 reviews,https://www.booking.com//hotel/fr/le-petit-studio-a-opera.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
192,Novotel Paris Centre Bercy,"12th arr., Paris",1.9 miles,6.8,479 reviews,https://www.booking.com//hotel/fr/paris-bercy.html?from=searchresults;#hotelTmpl
193,Pick a Flat - Residence Saint Michel / Sommerard,"5th arr., Paris","2,950 feet",8.6,27 reviews,https://www.booking.com//hotel/fr/pick-a-flat-residence-du-sommerard.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
194,14 Luxury Flat Eiffel Design 1,"2nd arr., Paris",0.7 miles,8.9,38 reviews,https://www.booking.com//hotel/fr/luxury-flat-eiffel-design-1.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
195,Large and cosy studio - 10th Arr.,"10th arr., Paris",1.6 miles,7.4,38 reviews,https://www.booking.com//hotel/fr/large-and-cosy-studio-10th-arr.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
196,BE YOU LUXURY APART'HÔTEL - LE CANARD,"18th arr., Paris",2.1 miles,8.1,9 reviews,https://www.booking.com//hotel/fr/luxury-apartment-montmartre-apartment-le-canard.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
197,Excelsior Opera,"9th arr., Paris",1.4 miles,8.3,707 reviews,https://www.booking.com//hotel/fr/excelsior-opera.html?from=searchresults;#hotelTmpl
198,CMG Moulin Rouge - Pigalles II,"17th arr., Paris",2.4 miles,7.9,32 reviews,https://www.booking.com//hotel/fr/cmg-batignolles-pigalles-ii.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
199,Bridgestreet Champs-Elysées Apartments,"8th arr., Paris",2.1 miles,8.2,672 reviews,https://www.booking.com//hotel/fr/bridgestreet-champs-elysees.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
200,Le Poissonnière,"10th arr., Paris",1.3 miles,8.0,788 reviews,https://www.booking.com//hotel/fr/le-poissonniere.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
201,Hotel Cosmos,"11th arr., Paris",1.2 miles,8.4,511 reviews,https://www.booking.com//hotel/fr/cosmos-paris.html?from=searchresults;#hotelTmpl
202,Odéon - Saint Germain Private Apartments,"6th arr., Paris",0.7 miles,7.6,136 reviews,https://www.booking.com//hotel/fr/odeon-saint-germain-private-apartments.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
203,Apartment WS Opéra - Galeries Lafayette,"9th arr., Paris",1.6 miles,8.0,15 reviews,https://www.booking.com//hotel/fr/apartment-ws-opera-galeries-lafayette.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
204,Le Hameau de Passy,"16th arr., Paris",3.1 miles,7.7,"1,171 reviews",https://www.booking.com//hotel/fr/lehameaudepassy.html?from=searchresults;#hotelTmpl
205,Le Damantin Hôtel & Spa,"8th arr., Paris",2.1 miles,7.6,33 reviews,https://www.booking.com//hotel/fr/le-damantin-amp-spa.html?from=searchresults;#hotelTmpl
206,Le Chalgrin,"16th arr., Paris",3.1 miles,7.7,317 reviews,https://www.booking.com//hotel/fr/le-chalgrin.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
207,Hôtel Résidence Quintinie Square,"15th arr., Paris",2.4 miles,7.3,48 reviews,https://www.booking.com//hotel/fr/residence-quintinie-square.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
208,Apartment WS Hôtel de Ville - Le Marais,"4th arr., Paris",650 feet,9.2,47 reviews,https://www.booking.com//hotel/fr/apartment-ws-de-ville-le-marais.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
209,CMG Saint Germain / Jardin du Luxembourg II,"5th arr., Paris",1.1 miles,9.3,572 reviews,https://www.booking.com//hotel/fr/cmg-saint-germain-47-jardin-du-luxembourg-ii.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
210,Relais Argout,"2nd arr., Paris",0.7 miles,7.7,791 reviews,https://www.booking.com//hotel/fr/relais-argout.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
211,04 Best Flat Montorgeuil 3,"2nd arr., Paris",0.7 miles,8.8,"1,064 reviews",https://www.booking.com//hotel/fr/flat-montorgeuil-etienne-macel.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
212,CMG Montorgueil I,"2nd arr., Paris",0.8 miles,7.9,"2,159 reviews",https://www.booking.com//hotel/fr/cmg-montorgueil-i-paris1.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
213,Residhome Paris Opéra,"9th arr., Paris",1.6 miles,8.2,"2,130 reviews",https://www.booking.com//hotel/fr/residhome-prestige-paris-opera.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
214,CMG Tour Eiffel/Champs de Mars__Laos 2D,"15th arr., Paris",2.4 miles,9.1,6 reviews,https://www.booking.com//hotel/fr/cmg-tour-eiffel-47-champs-de-mars-laos-2d-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
215,Le Grand Hôtel de Normandie,"9th arr., Paris",1.7 miles,7.8,14 reviews,https://www.booking.com//hotel/fr/le-grand-ha-tel-de-normandie.html?from=searchresults;#hotelTmpl
216,Villa Luxembourg,"6th arr., Paris",1.4 miles,8.1,6 reviews,https://www.booking.com//hotel/fr/villaluxembourg.html?from=searchresults;#hotelTmpl
217,St. Germain des Pres - Bonaparte Apartment,"6th arr., Paris",0.8 miles,7.9,963 reviews,https://www.booking.com//hotel/fr/st-germain-des-pres-bonaparte-apartment.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
218,Hotel Esmeralda,"5th arr., Paris","1,950 feet",7.8,824 reviews,https://www.booking.com//hotel/fr/esmeralda.html?from=searchresults;#hotelTmpl
219,Appartement dans Le Marais,"4th arr., Paris","2,450 feet",8.4,52 reviews,https://www.booking.com//hotel/fr/appartement-dans-le-marais-paris1.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
220,CMG Charonne / Voltaire III,"11th arr., Paris",1.7 miles,8.6,14 reviews,https://www.booking.com//hotel/fr/cmg-charonne-47-voltaire-iii.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
221,CMG Sacré Coeur/ Ramey I,"18th arr., Paris",2.3 miles,9.4,34 reviews,https://www.booking.com//hotel/fr/cmg-sacre-coeur-47-ramey-i.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
222,Hotel Montpensier,"1st arr., Paris",0.9 miles,8.0,120 reviews,https://www.booking.com//hotel/fr/montpensier-paris.html?from=searchresults;#hotelTmpl
223,Parislux,"1st arr., Paris",1.3 miles,8.1,754 reviews,https://www.booking.com//hotel/fr/parislux.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
224,Ménil Bon Temps,"20th arr., Paris",1.6 miles,8.3,"1,133 reviews",https://www.booking.com//hotel/fr/menil-bon-temps.html?from=searchresults;#hotelTmpl
225,Bridgestreet marais - rue mondetour,"1st arr., Paris","2,450 feet",8.9,63 reviews,https://www.booking.com//hotel/fr/bridgestreet-marais-rue-mondetour.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
226,Sloth Loft Montmarte,"18th arr., Paris",2.4 miles,7.6,950 reviews,https://www.booking.com//hotel/fr/sloth-loft-montmarte.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
227,Edgar Suites Expo Paris Porte de Versailles,"15th arr., Paris",3.1 miles,7.6,494 reviews,https://www.booking.com//hotel/fr/edgar-suites-expo-paris-porte-de-versailles.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
228,Hôtel Azur Paris Gare de Lyon,"12th arr., Paris",1.2 miles,8.9,710 reviews,https://www.booking.com//hotel/fr/azur-paris.html?from=searchresults;#hotelTmpl
229,Le Petit Cosy Hôtel,"12th arr., Paris",2.5 miles,8.5,96 reviews,https://www.booking.com//hotel/fr/cosy.html?from=searchresults;#hotelTmpl
230,Hotel André Latin,"5th arr., Paris",1.1 miles,9.5,10 reviews,https://www.booking.com//hotel/fr/comfort-andre-latin.html?from=searchresults;#hotelTmpl
231,Hotel Vivienne,"2nd arr., Paris",1.1 miles,8.6,39 reviews,https://www.booking.com//hotel/fr/vivienne.html?from=searchresults;#hotelTmpl
232,Welkeys - Richelieu Apartment,"1st arr., Paris",0.9 miles,9.9,26 reviews,https://www.booking.com//hotel/fr/welkeys-richelieu-apartment.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
233,Convention Porte De Versailles,"15th arr., Paris",3 miles,8.2,529 reviews,https://www.booking.com//hotel/fr/convention-porte-de-versailles.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
234,Washington,"8th arr., Paris",2.5 miles,8.5,73 reviews,https://www.booking.com//hotel/fr/washington.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
235,Hôtel Londres Saint Honoré,"1st arr., Paris",1.1 miles,7.8,461 reviews,https://www.booking.com//hotel/fr/ha-tel-londres-saint-honora-c-paris.html?from=searchresults;#hotelTmpl
236,Carina Tour Eiffel,"15th arr., Paris",3 miles,9.0,80 reviews,https://www.booking.com//hotel/fr/carina-tour-eiffel.html?from=searchresults;#hotelTmpl
237,CMG Deluxe Tour Eiffel VI,"16th arr., Paris",3 miles,7.8,16 reviews,https://www.booking.com//hotel/fr/cmg-deluxe-tour-eiffel-vi.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
238,60-LUXURY PARISIAN HOME SEBASTOPOL (2DG),"3rd arr., Paris",0.8 miles,9.7,321 reviews,https://www.booking.com//hotel/fr/60-luxury-parisian-home-sebastopol-2dg.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
239,Apartment Bac St. Germain,"7th arr., Paris",1.1 miles,8.4,847 reviews,https://www.booking.com//hotel/fr/apartment-bac-st-germain-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
240,Appartement Censier Daubenton,"5th arr., Paris",1.1 miles,7.4,21 reviews,https://www.booking.com//hotel/fr/appartement-censier-daubenton.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
241,Hotel Michelet Odeon,"6th arr., Paris",0.8 miles,7.9,367 reviews,https://www.booking.com//hotel/fr/michelet-odeon.html?from=searchresults;#hotelTmpl
242,Waldorf Madeleine,"8th arr., Paris",1.7 miles,8.4,578 reviews,https://www.booking.com//hotel/fr/hotelwaldorfmadeleine.html?from=searchresults;#hotelTmpl
243,Quartier Notre Dame,"6th arr., Paris","2,450 feet",7.7,18 reviews,https://www.booking.com//hotel/fr/quartier-notre-dame.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
244,Hôtel Bellevue et du Chariot d'Or,"3rd arr., Paris","3,100 feet",7.1,633 reviews,https://www.booking.com//hotel/fr/bellevue-et-du-chariot-d-39-or-paris2.html?from=searchresults;#hotelTmpl
245,Hotel Bellan,"2nd arr., Paris",0.7 miles,7.7,36 reviews,https://www.booking.com//hotel/fr/bellan.html?from=searchresults;#hotelTmpl
246,Edouard 7 Paris Opéra,"2nd arr., Paris",1.2 miles,8.8,14 reviews,https://www.booking.com//hotel/fr/edouard.html?from=searchresults;#hotelTmpl
247,Lauriston Nice Studio,"16th arr., Paris",2.9 miles,9.4,24 reviews,https://www.booking.com//hotel/fr/lauriston-nice-studio.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
248,The Residence: Luxury 3 Bedroom Le Louvre,"2nd arr., Paris",1.2 miles,9.7,114 reviews,https://www.booking.com//hotel/fr/the-residence-luxury-3-bedrooms-flat-le-louvre.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
249,Appartement Bijou Paris 5ème,"5th arr., Paris",1.3 miles,8.8,38 reviews,https://www.booking.com//hotel/fr/appartement-bijou-paris-5eme.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
250,Paris Center Bastille Family - AC - wifi,"4th arr., Paris",0.7 miles,8.3,8 reviews,https://www.booking.com//hotel/fr/bastille-family-friendly.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
251,My Maison In Paris - Ile Saint-Louis,"4th arr., Paris","1,500 feet",8.9,156 reviews,https://www.booking.com//hotel/fr/my-maison-in-paris-ile-saint-louis.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
252,Welcome Hotel,"6th arr., Paris",0.7 miles,9.2,21 reviews,https://www.booking.com//hotel/fr/welcome-paris.html?from=searchresults;#hotelTmpl
253,Appartement le Méridien,"14th arr., Paris",1.9 miles,7.7,56 reviews,https://www.booking.com//hotel/fr/appartement-le-ma-c-ridien.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
254,The Westin Paris Vendôme,"1st arr., Paris",1.3 miles,8.2,"1,393 reviews",https://www.booking.com//hotel/fr/thewestinparis.html?from=searchresults;#hotelTmpl
255,Studio lumineux Paris centre - Chatelet,"1st arr., Paris","1,500 feet",8.0,"1,617 reviews",https://www.booking.com//hotel/fr/studio-lumineux-paris-centre-chatelet.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
256,CMG Montorgueil/ Sauveur,"2nd arr., Paris",0.7 miles,7.6,17 reviews,https://www.booking.com//hotel/fr/c-m-g-montorgueil-sauveur.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
257,Sourire Boutique Hôtel Particulier,"16th arr., Paris",3.1 miles,7.4,40 reviews,https://www.booking.com//hotel/fr/sourire-b-b.html?from=searchresults;#hotelTmpl
258,Amiral-Fondary,"15th arr., Paris",2.7 miles,8.6,15 reviews,https://www.booking.com//hotel/fr/amiral-fondary.html?from=searchresults;#hotelTmpl
259,Tour Eiffel Grenelle,"15th arr., Paris",2.4 miles,8.2,"1,260 reviews",https://www.booking.com//hotel/fr/tour-eiffel-grenelle.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
260,Résidence du Forum des Halles,"1st arr., Paris","2,450 feet",8.1,42 reviews,https://www.booking.com//hotel/fr/louvre-les-halles.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
261,Résidence du Lion d'Or Louvre,"1st arr., Paris",1.1 miles,7.8,21 reviews,https://www.booking.com//hotel/fr/ra-c-sidence-du-lion-d-or-louvre.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
262,64-LUXURY FLAT CHAMPS ELYSEES (1D),"8th arr., Paris",2.1 miles,7.3,420 reviews,https://www.booking.com//hotel/fr/64-luxury-flat-triangle-d-39-or-1d.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
263,Hotel William's Opera,"9th arr., Paris",1.4 miles,7.9,7 reviews,https://www.booking.com//hotel/fr/william-s-opera.html?from=searchresults;#hotelTmpl
264,Appartement Montmartre Chappe,"18th arr., Paris",2 miles,8.1,"1,338 reviews",https://www.booking.com//hotel/fr/appartement-montmartre-chappe.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
265,Marais-Saintonge,"3rd arr., Paris",0.8 miles,8.0,"1,117 reviews",https://www.booking.com//hotel/fr/marais-saintonge.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
266,Just Renovated 138m2 On The Seine,"6th arr., Paris","2,450 feet",7.4,13 reviews,https://www.booking.com//hotel/fr/just-renovated-138m2-on-the-seine.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
267,Villa Montabord,"17th arr., Paris",2.8 miles,8.5,169 reviews,https://www.booking.com//hotel/fr/villa-montabord.html?from=searchresults;#hotelTmpl
268,View Notre Dame Saint Germain,"5th arr., Paris","2,300 feet",7.1,211 reviews,https://www.booking.com//hotel/fr/appartement-funfrock.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
269,very cozy 2p rue de verneuil,"7th arr., Paris",1 miles,8.0,95 reviews,https://www.booking.com//hotel/fr/very-cozy-2p-rue-de-verneuil.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
270,The Residence - Luxury 4 Bedroom Paris Center 2 & 4,"9th arr., Paris",1.4 miles,8.0,22 reviews,https://www.booking.com//hotel/fr/the-residence-luxury-4-bedroom-paris-center-2.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
271,Appartement Marais,"4th arr., Paris","1,950 feet",8.4,664 reviews,https://www.booking.com//hotel/fr/chambre-marais.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
272,CMG Montorgueil I,"2nd arr., Paris",0.9 miles,7.9,31 reviews,https://www.booking.com//hotel/fr/cmg-grands-boulevards-90-clery.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
273,Grand Hôtel Des Gobelins,"13th arr., Paris",1.3 miles,7.2,"2,374 reviews",https://www.booking.com//hotel/fr/grand-des-gobelins.html?from=searchresults;#hotelTmpl
274,Le Rocroy Hotel Paris Gare du Nord,"10th arr., Paris",1.6 miles,9.3,224 reviews,https://www.booking.com//hotel/fr/hotelderocroy.html?from=searchresults;#hotelTmpl
275,CMG Montorgueil/ Grands Boulevards,"2nd arr., Paris",0.9 miles,9.5,22 reviews,https://www.booking.com//hotel/fr/cmg-montorgueil-47-grands-boulevards.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
276,18 Luxury Parisien Home Montorgueil 2,"2nd arr., Paris",0.7 miles,8.4,438 reviews,https://www.booking.com//hotel/fr/luxury-parisien-home-montorgueil-2.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
277,CMG Tour Eiffel/Champs de Mars__Laos 1G,"15th arr., Paris",2.4 miles,9.2,419 reviews,https://www.booking.com//hotel/fr/cmg-tour-eiffel-47-champs-de-mars-laos-1g-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
278,Libertel Montmartre Opéra,"9th arr., Paris",1.9 miles,7.5,39 reviews,https://www.booking.com//hotel/fr/libertel-amiral-duperre.html?from=searchresults;#hotelTmpl
