,Name,Localization,Distance to center,Score,Experiences number,Links
29,HighStay - Louvre / Saint Honoré Serviced Apartments,"1st arr., Paris",1.4 miles,9.0,"3,185 reviews",https://www.booking.com//hotel/fr/highstay-rue-saint-honore-serviced-apartments-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
30,Appartement Pont Neuf à Paris,"3rd arr., Paris","3,100 feet",9.1,739 reviews,https://www.booking.com//hotel/fr/pari-3gu-pongnepeuminbag.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
31,Chambres de la Grande Porte Bed & Breakfast,"10th arr., Paris",1.1 miles,8.1,21 reviews,https://www.booking.com//hotel/fr/chambres-de-la-grande-porte.html?from=searchresults;#hotelTmpl
32,THE RESIDENCE - LUXURY 2 BEDROOM APARTMENT MONTORGUEIL,"2nd arr., Paris",0.8 miles,9.1,367 reviews,https://www.booking.com//hotel/fr/the-residence-luxury-2-bedroom-apartment-montorgueil.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
33,Motel One Paris-Porte Dorée,"12th arr., Paris",3.1 miles,8.5,138 reviews,https://www.booking.com//hotel/fr/motel-one-paris-porte-doree.html?from=searchresults;#hotelTmpl
34,Apartments Du Louvre,"1st arr., Paris","2,800 feet",8.6,13 reviews,https://www.booking.com//hotel/fr/apartments-du-louvre.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
35,Hapimag Resort Paris,"1st arr., Paris","2,800 feet",7.5,421 reviews,https://www.booking.com//hotel/fr/hapimag-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
36,Hôtel Dress Code & Spa,"9th arr., Paris",1.5 miles,9.0,55 reviews,https://www.booking.com//hotel/fr/dress-code-amp-spa.html?from=searchresults;#hotelTmpl
37,CMG Montorgueil / Jeuneurs II,"2nd arr., Paris",0.9 miles,8.0,34 reviews,https://www.booking.com//hotel/fr/cmg-sentier-47-jeuneurs-ii.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
38,Hotel Pierre Nicole,"5th arr., Paris",1.3 miles,9.2,95 reviews,https://www.booking.com//hotel/fr/pierre-nicole.html?from=searchresults;#hotelTmpl
39,Apt 45 m2 Paris Centre,"13th arr., Paris",2.1 miles,8.0,292 reviews,https://www.booking.com//hotel/fr/charm-amp-comfort.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
40,Apartment WS St Germain - Quartier Latin,"6th arr., Paris","2,950 feet",9.1,40 reviews,https://www.booking.com//hotel/fr/apartment-ws-st-germain-quartier-latin-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
41,The Residence - Luxury 4 Bedroom Paris Center 3,"10th arr., Paris",1.5 miles,7.5,59 reviews,https://www.booking.com//hotel/fr/the-residence-luxury-4-bedroom-paris-center-1.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
42,Apartment Opéra / Galeries Lafayette,"8th arr., Paris",1.9 miles,8.9,393 reviews,https://www.booking.com//hotel/fr/saint-lazare-terrasse-4.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
43,Brach Paris,"16th arr., Paris",3.1 miles,8.6,55 reviews,https://www.booking.com//hotel/fr/brach-paris.html?from=searchresults;#hotelTmpl
44,Residence Central Marais,"4th arr., Paris","1,650 feet",9.0,36 reviews,https://www.booking.com//hotel/fr/residence-central-marais-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
45,Tinah Paris,"2nd arr., Paris",0.8 miles,9.3,9 reviews,https://www.booking.com//hotel/fr/tinah.html?from=searchresults;#hotelTmpl
46,Home Sweet Home,"3rd arr., Paris","3,100 feet",9.0,58 reviews,https://www.booking.com//hotel/fr/home-sweet-home-paris12.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
47,25hours Hotel Terminus Nord,"10th arr., Paris",1.6 miles,9.4,78 reviews,https://www.booking.com//hotel/fr/25hours-paris-terminus-nord.html?from=searchresults;#hotelTmpl
48,Appartement Rue Le Marois,"16th arr., Paris",4.3 miles,9.7,25 reviews,https://www.booking.com//hotel/fr/appartement-rue-le-marois.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
49,72 - Mermoz Mickey Mouse,"8th arr., Paris",2.1 miles,8.7,303 reviews,https://www.booking.com//hotel/fr/72-mermoz-mickey-mouse.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
50,Central Apartment Louvre Opéra,"2nd arr., Paris",1.1 miles,7.3,21 reviews,https://www.booking.com//hotel/fr/central-appartment-louvre-opera.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
51,River Seine - Notre Dame Private Apartment,"5th arr., Paris","2,800 feet",9.0,172 reviews,https://www.booking.com//hotel/fr/river-seine-notre-dame-private-apartment.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
52,THE RESIDENCE - LUXURY APARTMENTS PARIS CENTER 1 & 2,"10th arr., Paris",1.6 miles,8.2,13 reviews,https://www.booking.com//hotel/fr/the-residence-luxury-apartments-paris-center-1-amp-2.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
53,Les Boulevards Hotel et Studio,"2nd arr., Paris",0.9 miles,7.3,23 reviews,https://www.booking.com//hotel/fr/des-boulevards.html?from=searchresults;#hotelTmpl
54,chrisev,"4th arr., Paris","1,650 feet",8.1,"1,046 reviews",https://www.booking.com//hotel/fr/chrisev.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
55,Tour Eiffel Rent,"15th arr., Paris",2.5 miles,8.6,261 reviews,https://www.booking.com//hotel/fr/tour-eiffel-rent.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
56,Studio Montorgueil Pompidou,"2nd arr., Paris","3,100 feet",8.8,30 reviews,https://www.booking.com//hotel/fr/studio-montorgueil-pompidou.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
57,Appartement Vertus,"3rd arr., Paris","2,950 feet",8.6,70 reviews,https://www.booking.com//hotel/fr/appartement-vertus.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
58,Charenton,"12th arr., Paris",2.5 miles,8.2,170 reviews,https://www.booking.com//hotel/fr/vaneau-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
59,Dreamyflat com - St Germain,"6th arr., Paris",0.9 miles,8.6,142 reviews,https://www.booking.com//hotel/fr/dreamyflat-com-st-germain.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
60,Hostel Eiffel,"15th arr., Paris",3.1 miles,9.4,9 reviews,https://www.booking.com//hotel/fr/hostel-eiffel.html?from=searchresults;#hotelTmpl
61,Courtyard by Marriott Paris Gare de Lyon,"12th arr., Paris",1.2 miles,8.0,48 reviews,https://www.booking.com//hotel/fr/courtyard-by-marriott-paris-gare-de-lyon.html?from=searchresults;#hotelTmpl
62,Private Apartment - Le Marais - Hotel de Ville,"4th arr., Paris","1,500 feet",8.9,70 reviews,https://www.booking.com//hotel/fr/private-apartment-le-marais-de-ville.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
63,Appartement Glamour,"19th arr., Paris",3.1 miles,7.4,734 reviews,https://www.booking.com//hotel/fr/appartement-glamour-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
64,Nouvel hotel,"12th arr., Paris",2.2 miles,8.4,628 reviews,https://www.booking.com//hotel/fr/nouvel-paris1234567.html?from=searchresults;#hotelTmpl
65,Charles V,"4th arr., Paris","2,800 feet",7.6,"1,219 reviews",https://www.booking.com//hotel/fr/charles-v-paris.html?from=searchresults;#hotelTmpl
66,Dreamyflat - Archives,"3rd arr., Paris","1,950 feet",9.1,396 reviews,https://www.booking.com//hotel/fr/dreamyflat-archives.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
67,CosyCocoon,"5th arr., Paris",0.9 miles,9.6,6 reviews,https://www.booking.com//hotel/fr/cosycocoon.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
68,Duplex Saint Germain Odéon,"6th arr., Paris",0.9 miles,8.5,"1,495 reviews",https://www.booking.com//hotel/fr/odeon-paris-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
69,Eiffel Tower Family - AC - Wifi,"7th arr., Paris",1.9 miles,9.2,12 reviews,https://www.booking.com//hotel/fr/family-friendly-apartment-eiffel-tower-view.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
70,Hôtel les Degrés de Notre Dame,"5th arr., Paris","2,150 feet",7.5,540 reviews,https://www.booking.com//hotel/fr/les-degra-c-s-de-notre-dame.html?from=searchresults;#hotelTmpl
71,Hotel Habituel,"10th arr., Paris",1.6 miles,9.0,264 reviews,https://www.booking.com//hotel/fr/habituel.html?from=searchresults;#hotelTmpl
72,Hôtel Sunny,"5th arr., Paris",1.4 miles,7.2,100 reviews,https://www.booking.com//hotel/fr/sunny.html?from=searchresults;#hotelTmpl
73,Appartements Caumartin 64,"9th arr., Paris",1.7 miles,9.0,90 reviews,https://www.booking.com//hotel/fr/caumartin-64.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
74,Montorgueil Suite,"2nd arr., Paris",0.7 miles,9.4,7 reviews,https://www.booking.com//hotel/fr/montorgueil-suite.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
75,Timhotel Montmartre,"18th arr., Paris",2.1 miles,7.6,26 reviews,https://www.booking.com//hotel/fr/timmontmartre.html?from=searchresults;#hotelTmpl
76,L'ETOILE★LEYCAHOME,"17th arr., Paris",3.1 miles,8.8,116 reviews,https://www.booking.com//hotel/fr/l-39-etoileleycahome-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
77,Apartment WS Hôtel de Ville - Musée Pompidou,"4th arr., Paris","1,000 feet",7.2,23 reviews,https://www.booking.com//hotel/fr/apartment-ws-de-ville-musee-pompidou.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
78,Résidence Bastille Liberté,"11th arr., Paris",1.1 miles,7.7,509 reviews,https://www.booking.com//hotel/fr/residence-bastille-liberte.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
79,Apartment WS Montorgueil-Louvre,"1st arr., Paris","3,100 feet",8.4,"2,052 reviews",https://www.booking.com//hotel/fr/apartment-ws-montorgueil-louvre-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
80,Maison de Lignières - Bed & Breakfast Paris - quartier Champs-Elysées,"16th arr., Paris",2.7 miles,8.5,"1,410 reviews",https://www.booking.com//hotel/fr/maison-de-lignieres-bed-amp-breakfast-paris-proche-champs-elysees.html?from=searchresults;#hotelTmpl
81,Milestay Charmants Passages,"2nd arr., Paris",1.1 miles,8.3,463 reviews,https://www.booking.com//hotel/fr/milestay-coeur-de-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
82,CMG Trocadéro/ Passy,"16th arr., Paris",3.1 miles,7.9,22 reviews,https://www.booking.com//hotel/fr/cmg-trocadero-47-passy.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
83,CMG Champs Elysées / 4 Boetie 4DF,"8th arr., Paris",2.3 miles,8.7,461 reviews,https://www.booking.com//hotel/fr/cmg-champs-elysees-47-boetie-4df.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
84,Résidence Blanche,"9th arr., Paris",1.7 miles,7.6,816 reviews,https://www.booking.com//hotel/fr/residence-blanche-paris-9e-arrondissement.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
85,Apartment Boulevard Brune,"14th arr., Paris",2.8 miles,9.4,230 reviews,https://www.booking.com//hotel/fr/luckey-homes-boulevard-brune.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
86,Hotel Studia,"5th arr., Paris","2,600 feet",7.7,39 reviews,https://www.booking.com//hotel/fr/studia.html?from=searchresults;#hotelTmpl
87,Hotel De Suez,"5th arr., Paris",0.7 miles,7.3,"2,367 reviews",https://www.booking.com//hotel/fr/de-suez.html?from=searchresults;#hotelTmpl
88,Suite Dylan,"3rd arr., Paris",0.8 miles,8.2,741 reviews,https://www.booking.com//hotel/fr/suite-dylan.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
89,Sejours & Affaires Paris-Davout,"20th arr., Paris",2.6 miles,9.0,67 reviews,https://www.booking.com//hotel/fr/sejours-affaires-paris-davout.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
90,Residence Le Saint Germain,"5th arr., Paris","2,600 feet",8.0,"9,490 reviews",https://www.booking.com//hotel/fr/residence-le-saint-germain.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
91,Superbe Appartement,"3rd arr., Paris",0.8 miles,8.5,27 reviews,https://www.booking.com//hotel/fr/superbe-appartement-4-p.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
92,Auteuil Tour Eiffel,"16th arr., Paris",3.1 miles,9.2,25 reviews,https://www.booking.com//hotel/fr/hotelauteuiltoureiffel.html?from=searchresults;#hotelTmpl
93,Hotel des Belges,"10th arr., Paris",1.6 miles,7.4,19 reviews,https://www.booking.com//hotel/fr/des-belges.html?from=searchresults;#hotelTmpl
